timestamp,switch_id,port,tx_bytes,rx_bytes,tx_packets,rx_packets,latency,switch_latency,cpu_usage,mem_usage
2025-05-31 22:26:28,2,2,266,200,3,2,376,2.14,22.5,85.5
2025-05-31 22:26:28,2,3,90,90,1,1,376,2.14,22.5,85.5
2025-05-31 22:26:30,3,1,180,200,2,2,86,1.3,29.5,85.3
2025-05-31 22:26:30,3,2,266,200,3,2,86,1.3,29.5,85.3
2025-05-31 22:26:30,3,3,90,176,1,2,86,1.3,29.5,85.3
2025-05-31 22:26:30,1,1,90,90,1,1,351,1.85,29.5,85.3
2025-05-31 22:26:30,1,2,176,90,2,1,350,1.85,29.5,85.3
2025-05-31 22:26:30,2,1,180,286,2,3,376,2.14,29.5,85.3
2025-05-31 22:26:30,2,2,266,200,3,2,376,2.14,29.5,85.3
2025-05-31 22:26:30,2,3,90,90,1,1,376,2.14,29.5,85.3
2025-05-31 22:26:32,3,1,180,200,2,2,86,1.3,32.7,85.3
2025-05-31 22:26:32,3,2,266,200,3,2,86,1.3,32.7,85.3
2025-05-31 22:26:32,3,3,90,176,1,2,86,1.3,32.7,85.3
2025-05-31 22:26:32,1,1,90,90,1,1,351,1.85,32.7,85.3
2025-05-31 22:26:32,1,2,176,90,2,1,350,1.85,32.7,85.3
2025-05-31 22:26:32,2,1,180,286,2,3,376,2.14,32.7,85.3
2025-05-31 22:26:32,2,2,266,200,3,2,376,2.14,32.7,85.3
2025-05-31 22:26:32,2,3,90,90,1,1,376,2.14,32.7,85.3
2025-05-31 22:26:34,3,1,180,200,2,2,86,1.3,30.5,85.4
2025-05-31 22:26:34,3,2,266,200,3,2,86,1.3,30.5,85.4
2025-05-31 22:26:34,3,3,90,176,1,2,86,1.3,30.5,85.4
2025-05-31 22:26:34,1,1,90,90,1,1,351,1.85,30.5,85.4
2025-05-31 22:26:34,1,2,176,90,2,1,350,1.85,30.5,85.4
2025-05-31 22:26:34,2,1,180,286,2,3,376,2.14,30.5,85.4
2025-05-31 22:26:34,2,2,266,200,3,2,376,2.14,30.5,85.4
2025-05-31 22:26:34,2,3,90,90,1,1,376,2.14,30.5,85.4
2025-05-31 22:26:36,3,1,180,200,2,2,86,1.3,20.3,85.5
2025-05-31 22:26:36,3,2,266,200,3,2,86,1.3,20.3,85.5
2025-05-31 22:26:36,3,3,90,176,1,2,86,1.3,20.3,85.5
2025-05-31 22:26:36,1,1,90,90,1,1,351,1.85,20.3,85.5
2025-05-31 22:26:36,1,2,176,90,2,1,350,1.85,20.3,85.5
