timestamp,switch_id,port,tx_bytes,rx_bytes,tx_packets,rx_packets,latency,switch_latency,cpu_usage,mem_usage
2025-05-31 19:36:14,3,2,1705,646,13,7,72,2.96,6.6,72.0
2025-05-31 19:36:14,3,3,1739,2050,12,14,71,2.96,6.6,72.0
2025-05-31 19:36:14,2,1,1809,646,13,7,393,4.43,6.6,72.0
2025-05-31 19:36:14,2,2,1595,646,12,7,393,4.43,6.6,72.0
2025-05-31 19:36:14,2,3,2050,2050,14,14,393,4.43,6.6,72.0
2025-05-31 19:36:19,1,1,2050,2050,14,14,105,3.65,4.5,72.0
2025-05-31 19:36:19,1,2,2050,1739,14,12,104,3.65,4.5,72.0
2025-05-31 19:36:19,3,1,2140,556,15,6,72,2.96,4.5,72.0
2025-05-31 19:36:19,3,2,1705,646,13,7,72,2.96,4.5,72.0
2025-05-31 19:36:19,3,3,1739,2050,12,14,71,2.96,4.5,72.0
2025-05-31 19:36:19,2,1,1809,646,13,7,393,4.43,4.5,72.0
2025-05-31 19:36:19,2,2,1595,646,12,7,393,4.43,4.5,72.0
2025-05-31 19:36:19,2,3,2050,2050,14,14,393,4.43,4.5,72.0
2025-05-31 19:36:24,1,1,2050,2050,14,14,105,3.65,2.9,72.0
2025-05-31 19:36:24,1,2,2050,1739,14,12,104,3.65,2.9,72.0
2025-05-31 19:36:24,3,1,2140,556,15,6,72,2.96,2.9,72.0
2025-05-31 19:36:24,3,2,1705,646,13,7,72,2.96,2.9,72.0
2025-05-31 19:36:24,3,3,1739,2050,12,14,71,2.96,2.9,72.0
2025-05-31 19:36:24,2,1,1809,646,13,7,393,4.43,2.9,72.0
2025-05-31 19:36:24,2,2,1595,646,12,7,393,4.43,2.9,72.0
2025-05-31 19:36:24,2,3,2050,2050,14,14,393,4.43,2.9,72.0
2025-05-31 19:36:29,1,1,2050,2050,14,14,105,3.65,6.1,71.7
2025-05-31 19:36:29,1,2,2050,1739,14,12,104,3.65,6.1,71.7
2025-05-31 19:36:29,3,1,2140,556,15,6,72,2.96,6.1,71.7
2025-05-31 19:36:29,3,2,1705,646,13,7,72,2.96,6.1,71.7
2025-05-31 19:36:29,3,3,1739,2050,12,14,71,2.96,6.1,71.7
2025-05-31 19:36:29,2,1,1809,646,13,7,393,4.43,6.1,71.7
2025-05-31 19:36:29,2,2,1595,646,12,7,393,4.43,6.1,71.7
2025-05-31 19:36:29,2,3,2050,2050,14,14,393,4.43,6.1,71.7
2025-05-31 19:36:34,1,1,2050,2050,14,14,105,3.65,10.7,71.7
2025-05-31 19:36:34,1,2,2050,1739,14,12,104,3.65,10.7,71.7
2025-05-31 19:36:34,3,1,2140,556,15,6,72,2.96,10.7,71.7
2025-05-31 19:36:34,3,2,1705,646,13,7,72,2.96,10.7,71.7
2025-05-31 19:36:34,3,3,1739,2050,12,14,71,2.96,10.7,71.7
2025-05-31 19:36:34,2,1,1809,646,13,7,393,4.43,10.7,71.7
2025-05-31 19:36:34,2,2,1595,646,12,7,393,4.43,10.7,71.7
2025-05-31 19:36:34,2,3,2050,2050,14,14,393,4.43,10.7,71.7
2025-05-31 19:36:39,1,1,2050,2050,14,14,105,3.65,9.9,71.7
2025-05-31 19:36:39,1,2,2050,1739,14,12,104,3.65,9.9,71.7
2025-05-31 19:36:39,3,1,2140,556,15,6,72,2.96,9.9,71.7
2025-05-31 19:36:39,3,2,1705,646,13,7,72,2.96,9.9,71.7
2025-05-31 19:36:39,3,3,1739,2050,12,14,71,2.96,9.9,71.7
2025-05-31 19:36:39,2,1,1809,646,13,7,393,4.43,9.9,71.7
2025-05-31 19:36:39,2,2,1595,646,12,7,393,4.43,9.9,71.7
2025-05-31 19:36:39,2,3,2050,2050,14,14,393,4.43,9.9,71.7
2025-05-31 19:36:44,1,1,2050,2050,14,14,105,3.65,9.6,71.8
2025-05-31 19:36:44,1,2,2050,1739,14,12,104,3.65,9.6,71.8
2025-05-31 19:36:44,3,1,2140,556,15,6,72,2.96,9.6,71.8
2025-05-31 19:36:44,3,2,1705,646,13,7,72,2.96,9.6,71.8
2025-05-31 19:36:44,3,3,1739,2050,12,14,71,2.96,9.6,71.8
2025-05-31 19:36:44,2,1,1809,646,13,7,393,4.43,9.6,71.8
2025-05-31 19:36:44,2,2,1595,646,12,7,393,4.43,9.6,71.8
2025-05-31 19:36:44,2,3,2050,2050,14,14,393,4.43,9.6,71.8
