tx_bytes,rx_bytes,tx_packets,rx_packets,latencia,congestion
197266513,5316217529,2592474,4356394,6,0
197277475,5316223822,2592494,4356416,12,0
197292348,5316226552,2592515,4356440,11,0
197318690,5316233967,2592545,4356474,9,0
197335597,5316237373,2592570,4356497,3406,1
197364515,5316248344,2592633,4356559,13,0
197376210,5316254107,2592665,4356592,18,0
197392150,5316255888,2592682,4356610,26,0
197435193,5316270854,2592733,4356665,24,0
197452531,5316272926,2592754,4356689,14,0
197461071,5316274040,2592769,4356703,9,0
197476703,5316342994,2592832,4356786,6,0
197545111,5316406705,2593107,4357011,7,0
197594878,5316473623,2593250,4357183,30,0
197618701,5316509080,2593305,4357260,12,0
197645342,5316562764,2593374,4357342,13,0
197666899,5316735295,2593435,4357485,7,0
197681125,5316738513,2593463,4357510,12,0
197713676,5316882795,2593538,4357654,13,0
197744643,5317188440,2593674,4357888,5,0
197762177,5317360178,2593742,4358029,11,0
197774348,5317472779,2593783,4358128,8,0
197797253,5317609051,2593854,4358247,5,0
197820231,5317627146,2593893,4358296,26,0
197833069,5317629332,2593921,4358322,10,0
197847894,5317630783,2593938,4358340,17,0
197872479,5317652724,2593997,4358405,5,0
197905735,5317670929,2594050,4358466,17,0
197924153,5317673103,2594074,4358491,7,0
197938593,5317674271,2594088,4358505,14,0
197953993,5317676852,2594112,4358526,14,0
197996470,5317748806,2594209,4358660,23,0
198019614,5317751608,2594231,4358684,18,0
198045414,5317754656,2594261,4358720,34,0
198067023,5317756169,2594277,4358735,13,0
198096137,5317772369,2594322,4358785,7,0
198122185,5317776816,2594353,4358818,35,0
198142125,5317868890,2594418,4358912,8,0
198174433,5317889995,2594462,4358967,0,0
198221971,5317900382,2594519,4359026,3513,1
198251172,5317928696,2594593,4359113,7,0
198259776,5317933496,2594610,4359130,108,0
198276053,5317937811,2594632,4359153,10,0
198299871,5317945639,2594656,4359181,7,0
198320919,5317947043,2594672,4359198,4,0
198354988,5318018682,2594736,4359290,6,0
198374574,5318021703,2594756,4359314,7,0
198396615,5318023402,2594773,4359332,10,0
198421241,5318030049,2594797,4359358,7,0
198435443,5318032753,2594815,4359379,24,0
198449565,5318034049,2594828,4359393,9,0
198506916,5318295185,2594978,4359639,5,0
198522149,5318296535,2594995,4359654,6,0
198587953,5318322747,2595073,4359734,9,0
198610489,5318324466,2595091,4359757,19,0
198628894,5318333130,2595126,4359794,10,0
198631722,5318334254,2595140,4359807,6,0
198648447,5318348556,2595183,4359847,10,0
198683147,5318461840,2595445,4360082,7,0
198709373,5318489192,2595526,4360170,7,0
198736118,5318491382,2595543,4360196,16,0
198745895,5318492340,2595555,4360208,13,0
198759370,5318499668,2595581,4360234,5,0
198764222,5318502282,2595595,4360251,14,0
198766896,5318503452,2595606,4360263,5,0
198776476,5318514398,2595638,4360294,20,0
198790359,5318521165,2595678,4360328,6,0
198798393,5318523681,2595705,4360356,8,0
198811203,5318530477,2595731,4360382,8,0
198814996,5318532887,2595747,4360398,6,0
198821299,5318534714,2595783,4360412,7,0
198832939,5318541714,2595812,4360439,23,0
198840697,5318544135,2595828,4360457,8,0
198843047,5318545285,2595840,4360469,20,0
198854569,5318551697,2595862,4360491,25,0
198865224,5318554159,2595878,4360509,10,0
198869798,5318555331,2595888,4360521,5,0
198884721,5318561709,2595910,4360542,21,0
198894818,5318569752,2595936,4360569,4,0
198906568,5318571615,2595957,4360591,12,0
198933197,5318579743,2595984,4360622,7,0
198936692,5318580899,2595996,4360634,6,0
198955836,5318589823,2596032,4360672,9,0
198958889,5318590879,2596042,4360683,14,0
198977249,5318600896,2596087,4360726,11,0
198982451,5318602308,2596099,4360738,14,0
198985354,5318603622,2596112,4360753,7,0
198997639,5318611316,2596140,4360779,8,0
198999843,5318612162,2596152,4360788,6,0
199002340,5318617905,2596170,4360803,4,0
199015682,5318620576,2596191,4360824,7,0
199019264,5318622071,2596211,4360842,6,0
199034589,5318695004,2596270,4360920,28,0
199039007,5318697346,2596286,4360936,6,0
199040931,5318698316,2596297,4360948,5,0
199055723,5318706118,2596324,4360975,5,0
199058020,5318707204,2596337,4360987,5,0
199060150,5318708132,2596349,4360997,5,0
199072641,5318715970,2596375,4361027,9,0
199075145,5318716794,2596385,4361037,6,0
199082177,5318722803,2596409,4361061,10,0
199094254,5318730679,2596436,4361087,12,0
199096298,5318731749,2596447,4361098,8,0
199098965,5318733269,2596464,4361112,5,0
199115848,5318747382,2596505,4361150,10,0
199123885,5318751396,2596535,4361182,12,0
199135945,5318757527,2596560,4361207,11,0
199137763,5318758551,2596572,4361219,7,0
199163360,5318775990,2596642,4361284,3373,1
199190066,5318850304,2596728,4361393,6,0
199192834,5318851362,2596742,4361405,5,0
199199360,5318852904,2596762,4361424,4,0
199217014,5318867350,2596814,4361474,5,0
199221043,5318873887,2596841,4361497,7,0
199237400,5318876696,2596859,4361520,9,0
199241781,5318877960,2596873,4361535,11,0
199254574,5318885616,2596901,4361559,6,0
199256508,5318886424,2596915,4361568,12,0
199258044,5318887182,2596926,4361576,7,0
199275640,5318895756,2596967,4361614,5,0
199280577,5318907042,2596990,4361639,18,0
199291865,5318909282,2597010,4361654,6,0
